Application_mode,Course,Displaced,Debtor,Tuition_fees_up_to_date,Scholarship_holder,Age,Target_encoded,approval_rate_1st,approval_rate_2nd,avg_enrolled
8,2,1,0,1,0,20,1,0.0,0.0,0.0
6,11,1,0,0,0,19,0,1.0,1.0,6.0
1,5,1,0,0,0,19,1,0.0,0.0,6.0
8,15,1,0,1,0,20,0,1.0,0.8333333333333334,6.0
12,3,0,0,1,0,45,0,0.8333333333333334,1.0,6.0
12,17,0,1,1,0,50,0,1.0,1.0,5.0
1,12,1,0,1,1,18,0,1.0,1.0,7.5
9,11,1,0,0,0,22,1,0.0,0.0,5.0
1,10,0,0,1,1,21,0,1.0,1.0,6.0
1,10,1,1,0,0,18,1,0.8333333333333334,0.3333333333333333,6.0
1,14,1,0,1,0,18,0,1.0,0.8333333333333334,6.0
1,12,1,0,1,1,18,0,0.875,0.875,8.0
1,16,1,0,1,0,19,1,0.0,0.0,6.0
17,11,1,0,1,1,21,0,1.0,0.8333333333333334,6.0
1,6,1,0,1,1,18,0,0.8,1.0,5.0
1,15,1,0,1,0,20,1,0.8333333333333334,0.0,6.0
8,12,1,0,1,0,18,0,1.0,1.0,7.5
1,8,1,0,1,0,20,0,0.8,0.8,5.0
1,2,0,0,1,1,21,0,0.0,0.0,0.0
1,12,1,0,1,0,18,0,0.875,0.875,8.0
1,14,1,0,1,1,19,0,1.0,1.0,6.0
1,12,0,0,1,0,19,0,0.8571428571428571,0.875,7.5
8,10,1,0,1,0,21,0,1.0,1.0,6.0
1,9,1,0,1,0,20,0,1.0,1.0,5.0
16,5,1,0,1,0,20,0,1.0,0.6666666666666666,6.0
9,3,1,0,1,0,19,0,1.0,1.0,6.0
1,17,0,0,1,0,34,0,1.0,1.0,5.0
12,1,0,1,0,0,37,1,0.0,0.14285714285714285,7.0
12,7,1,0,1,0,43,1,0.0,0.0,5.0
14,9,0,0,1,0,55,1,0.2,0.4,5.0
12,17,1,0,1,0,39,0,1.0,1.0,5.0
15,8,0,1,0,0,20,1,0.5,0.5,6.0
1,15,0,1,1,0,18,1,0.6666666666666666,0.0,5.5
1,9,1,0,1,0,22,0,1.0,1.0,5.0
1,12,1,0,1,0,22,0,0.7142857142857143,0.875,7.5
8,15,0,0,0,0,20,1,0.6666666666666666,0.8333333333333334,6.0
12,17,0,0,1,0,29,1,0.0,0.0,5.0
8,10,1,0,1,0,18,0,1.0,0.8333333333333334,6.0
8,12,1,0,1,1,22,0,0.8571428571428571,0.875,7.5
15,3,0,0,1,1,21,0,1.0,1.0,6.0
1,10,0,0,1,1,19,0,0.8333333333333334,1.0,6.0
12,11,0,0,1,1,24,0,1.0,1.0,6.0
1,8,0,0,1,0,19,0,1.0,1.0,5.0
12,17,0,0,1,0,27,1,1.0,1.0,5.0
1,12,1,0,1,0,18,0,1.0,1.0,7.5
4,11,0,0,1,0,39,1,0.0,0.0,6.0
12,8,1,0,1,0,27,1,0.8333333333333334,0.9090909090909091,8.5
8,12,1,0,1,0,18,0,1.0,1.0,8.0
1,12,0,0,1,0,18,0,0.8571428571428571,0.875,7.5
15,10,0,0,1,1,21,0,1.0,1.0,6.0
13,12,1,0,1,0,29,1,0.7142857142857143,0.625,7.5
1,2,1,0,1,1,19,0,0.0,0.0,0.0
15,4,1,0,1,0,23,0,1.0,1.0,6.0
1,9,0,1,1,0,19,1,1.0,0.8,5.0
8,12,0,0,1,0,24,0,1.0,1.0,7.5
1,2,1,0,1,0,19,1,0.0,0.0,0.0
8,11,1,0,1,0,18,1,0.5,0.16666666666666666,6.0
1,15,1,0,1,0,18,0,1.0,0.5,6.0
8,9,1,1,1,0,18,1,0.6,0.6,5.0
9,11,1,0,1,1,21,1,0.6666666666666666,0.16666666666666666,6.0
8,15,1,1,1,1,19,0,1.0,1.0,6.0
8,12,0,0,1,1,22,0,1.0,1.0,7.5
12,3,0,0,1,0,33,0,1.0,1.0,6.0
1,16,1,0,1,0,20,1,0.8333333333333334,0.8333333333333334,6.0
12,17,1,0,1,0,35,1,0.0,0.0,3.0
12,4,0,1,1,0,24,1,0.5,0.8333333333333334,12.0
12,3,1,0,1,0,33,0,1.0,0.8333333333333334,6.0
13,12,1,0,1,1,22,0,0.875,0.875,8.0
12,14,0,0,1,1,25,0,0.8,1.0,5.0
8,5,1,0,1,0,20,0,1.0,0.8333333333333334,6.0
12,12,0,0,1,0,24,1,0.0,0.0,7.0
8,15,1,0,0,0,21,0,1.0,1.0,6.0
6,8,0,0,1,0,26,1,0.3333333333333333,0.0,6.0
12,16,0,0,1,0,39,1,0.5,0.0,6.0
12,3,0,0,1,0,44,0,1.0,1.0,7.0
1,15,1,0,1,0,18,0,1.0,1.0,6.0
1,12,1,0,1,1,18,0,1.0,1.0,7.5
1,12,1,1,0,0,19,1,0.5714285714285714,0.0,7.0
17,6,0,0,1,0,21,1,0.8,0.5555555555555556,9.5
1,2,1,0,1,0,20,0,0.0,0.0,0.0
12,3,1,0,1,0,36,1,0.0,0.0,6.0
12,4,0,0,1,0,43,0,1.0,1.0,15.5
9,16,1,0,1,0,19,1,0.0,0.0,6.0
16,5,0,1,1,0,20,0,1.0,1.0,10.5
1,10,1,0,1,0,19,1,0.0,0.0,6.0
1,6,1,0,1,0,20,1,0.6666666666666666,0.6666666666666666,6.0
1,12,1,0,1,0,20,1,0.8571428571428571,0.7142857142857143,7.0
1,10,1,0,1,0,18,0,1.0,1.0,6.0
1,6,1,0,1,0,19,0,1.0,1.0,5.0
1,15,1,0,1,0,18,0,1.0,1.0,6.0
8,12,1,0,1,0,18,1,0.8571428571428571,0.8571428571428571,7.0
1,6,0,0,1,0,18,0,1.0,1.0,5.0
1,9,0,0,1,0,18,0,1.0,1.0,5.0
8,11,1,0,1,0,21,1,0.5,0.3333333333333333,6.0
1,9,1,0,1,0,19,0,1.0,0.8,5.0
1,2,0,0,1,0,19,1,0.0,0.0,0.0
1,14,0,0,1,1,19,0,1.0,1.0,5.0
1,6,1,0,1,0,19,0,1.0,1.0,6.0
8,13,1,0,1,0,19,1,0.7142857142857143,0.0,7.0
15,6,1,0,1,0,20,0,1.0,0.8333333333333334,6.0
8,10,1,0,1,0,18,0,1.0,1.0,6.0
8,12,1,0,1,0,19,0,1.0,1.0,7.5
1,12,1,0,1,1,18,1,1.0,0.875,7.5
8,5,1,0,1,0,18,0,1.0,1.0,6.0
1,9,1,0,1,0,19,0,1.0,1.0,5.0
8,12,1,0,1,0,19,1,0.7142857142857143,0.0,7.0
14,10,0,0,1,0,20,0,1.0,1.0,8.0
1,14,0,1,0,1,19,1,0.8333333333333334,0.6666666666666666,6.0
8,14,1,0,1,0,20,0,0.8,0.8,5.0
1,15,0,1,1,1,18,0,1.0,1.0,6.0
9,12,0,0,1,0,18,0,1.0,1.0,7.5
1,12,1,0,1,0,19,0,0.8571428571428571,0.8571428571428571,7.0
1,15,1,0,1,1,19,0,1.0,0.8333333333333334,6.0
1,10,1,0,1,1,19,0,1.0,1.0,6.0
1,12,1,0,1,1,19,0,1.0,1.0,7.5
8,16,1,0,1,1,19,0,0.8333333333333334,0.8333333333333334,6.0
1,11,1,0,1,0,19,1,0.0,0.0,5.0
8,11,1,0,1,0,20,1,0.8333333333333334,0.5,6.0
1,9,0,0,1,0,18,0,1.0,1.0,5.0
1,12,0,0,1,1,20,0,0.8571428571428571,0.875,7.5
1,6,0,0,1,0,19,0,1.0,1.0,5.0
1,16,1,0,1,0,18,0,1.0,0.8333333333333334,6.0
14,16,1,0,1,0,21,1,0.5,0.5,6.0
1,16,0,0,1,0,19,1,1.0,0.6666666666666666,6.0
1,9,0,0,1,1,18,0,1.0,1.0,5.0
8,10,1,0,1,1,18,0,1.0,1.0,6.0
1,10,1,0,1,0,20,0,0.6666666666666666,1.0,6.0
12,3,0,0,1,1,24,0,0.8333333333333334,0.8333333333333334,6.0
1,14,0,0,1,0,19,1,1.0,1.0,6.0
1,12,1,0,1,1,18,0,1.0,0.875,7.5
1,12,1,0,1,0,18,0,1.0,1.0,7.5
8,16,1,0,1,0,21,1,0.6666666666666666,0.5,6.0
8,14,0,0,1,0,19,0,1.0,1.0,5.0
8,15,0,0,1,1,19,0,1.0,1.0,6.0
8,10,0,0,1,0,19,0,0.8333333333333334,0.6666666666666666,6.0
12,12,0,0,1,0,29,0,0.875,0.875,8.0
14,10,1,0,1,0,21,1,0.5,0.3333333333333333,6.0
8,13,0,0,1,0,20,0,1.0,1.0,7.5
8,12,1,0,1,0,19,0,0.8571428571428571,0.8571428571428571,7.0
13,3,0,0,1,0,26,0,0.5,0.8333333333333334,6.0
8,11,1,1,0,0,20,1,0.6666666666666666,1.0,6.0
12,16,0,0,1,0,27,0,0.8333333333333334,0.8333333333333334,6.0
1,12,1,0,1,0,20,1,0.5714285714285714,0.5714285714285714,7.0
1,16,1,0,1,0,18,1,0.8333333333333334,0.8333333333333334,6.0
4,12,0,0,1,0,33,1,0.8571428571428571,0.75,7.5
14,16,1,0,1,0,35,0,1.0,1.0,20.0
12,15,0,1,0,0,27,1,0.8333333333333334,0.0,6.0
9,5,1,0,0,0,19,1,1.0,0.0,6.0
8,11,0,0,1,0,20,1,0.0,0.0,6.0
9,9,1,1,0,0,20,1,0.6,0.6,5.0
8,12,1,0,1,1,18,0,0.8571428571428571,0.8571428571428571,7.0
12,6,1,0,1,0,24,1,0.3333333333333333,0.0,6.0
8,5,1,0,1,0,20,0,1.0,1.0,6.0
1,11,0,0,1,1,21,0,1.0,1.0,6.0
12,9,1,0,1,0,24,1,0.0,0.0,5.0
16,16,0,0,1,0,21,1,0.0,0.0,6.0
1,12,1,0,1,0,18,0,0.875,0.875,8.0
12,17,1,0,1,0,27,1,0.0,0.0,5.0
9,12,1,0,1,0,18,0,1.0,1.0,8.0
4,7,0,0,1,0,35,1,0.0,0.0,5.0
1,16,0,0,1,0,18,0,1.0,1.0,7.0
1,6,1,0,1,0,19,0,0.8,0.8,5.0
1,10,1,0,1,0,20,0,1.0,1.0,6.0
1,12,1,0,1,0,18,0,0.875,0.875,8.0
15,10,0,1,1,0,21,0,1.0,1.0,6.0
8,10,0,0,1,1,18,0,0.8333333333333334,0.6666666666666666,6.0
1,10,1,0,1,0,18,0,0.6666666666666666,0.6666666666666666,6.0
1,12,1,0,1,0,18,0,0.875,0.875,8.0
1,15,1,0,1,1,18,0,1.0,1.0,6.0
1,6,1,0,1,0,19,0,1.0,0.8333333333333334,6.0
12,11,0,0,1,1,36,1,1.0,0.8333333333333334,6.0
1,12,1,0,1,1,18,0,0.875,0.875,8.0
1,12,0,0,1,1,18,0,0.8571428571428571,0.8571428571428571,7.0
14,8,1,0,1,1,20,0,1.0,1.0,6.0
12,17,0,0,1,1,26,1,0.0,0.0,5.0
14,15,0,0,1,0,21,0,1.0,1.0,6.0
9,9,1,0,1,1,19,0,1.0,1.0,5.0
12,3,1,0,1,0,24,1,0.16666666666666666,0.0,6.0
12,3,0,0,1,1,27,1,0.16666666666666666,0.0,6.0
8,6,0,0,1,0,21,1,0.0,0.4,5.0
1,9,0,0,1,1,18,0,0.8,0.6,5.0
1,16,0,0,1,1,19,0,1.0,1.0,6.0
1,11,1,0,1,0,18,1,0.6666666666666666,0.3333333333333333,6.0
16,12,0,0,1,1,19,0,0.7142857142857143,0.875,7.5
9,12,1,0,1,1,19,0,0.8571428571428571,0.875,7.5
